time,Efield
-9.925530112657764e-10,-822.4881357905688
-9.747225908462038e-10,-822.4881357905688
-9.568921704266312e-10,-822.4881357905688
-9.390617500070587e-10,-822.4881357905688
-9.212313295874862e-10,-822.4881357905688
-9.034009091679137e-10,-822.4881357905688
-8.855704887483412e-10,-822.4881357905688
-8.677400683287687e-10,-822.4881357905688
-8.499096479091962e-10,-822.4881357905688
-8.320792274896236e-10,-822.4881357905688
-8.142488070700511e-10,-822.4881357905688
-7.964183866504786e-10,-822.4881357905688
-7.785879662309061e-10,-822.4881357905688
-7.607575458113336e-10,-822.4881357905688
-7.429271253917611e-10,-822.4881357905688
-7.250967049721885e-10,-822.4881357905688
-7.07266284552616e-10,-822.4881357905688
-6.894358641330435e-10,-822.4881357905688
-6.71605443713471e-10,-822.4881357905688
-6.537750232938985e-10,-822.4881357905688
-6.35944602874326e-10,-822.4881357905688
-6.181141824547534e-10,-822.4881357905688
-6.002837620351809e-10,-822.4881357905688
-5.824533416156084e-10,-822.4881357905688
-5.646229211960359e-10,-822.4881357905688
-5.467925007764634e-10,-822.4881357905688
-5.289620803568909e-10,-822.4881357905688
-5.111316599373183e-10,-822.4881357905688
-4.933012395177457e-10,-822.4881357905688
-4.754708190981733e-10,-822.4881357905688
-4.576403986786007e-10,-822.4881357905688
-4.398099782590283e-10,-822.4881357905688
-4.2197955783945566e-10,-822.4881357905688
-4.0414913741988325e-10,-822.4881357905688
-3.863187170003106e-10,-822.4881357905688
-3.684882965807382e-10,-822.4881357905688
-3.506578761611656e-10,-822.4881357905688
-3.328274557415932e-10,-822.4881357905688
-3.1499703532202056e-10,-822.4881357905688
-2.9716661490244814e-10,-822.4881357905688
-2.793361944828755e-10,-822.4881357905688
-2.615057740633031e-10,-822.4881357905688
-2.436753536437305e-10,403.23754621949047
-2.2584493322415808e-10,2854.688910239609
-2.0801451280458546e-10,7297.944507526117
-2.1395798627777626e-10,3467.551751244697
-1.9810872368260078e-10,11026.193456973415
-1.8622177673621917e-10,16133.38379868213
-1.9018409238501284e-10,13273.357207325287
-1.8027830326302816e-10,21240.57414039073
-1.7235367196544042e-10,30433.51675546635
-1.7532540870203583e-10,26449.90828893357
-1.6839135631664655e-10,36766.43277918501
-1.7235367196544042e-10,33497.83096049144
-1.6244788284345575e-10,46163.66300792887
-1.6343846175565422e-10,41771.479314059485
-1.5650440937026495e-10,51679.4285769742
-1.515515148092724e-10,60463.79596471309
-1.515515148092724e-10,56786.618918682914
-1.4461746242388313e-10,74763.92892149731
-1.456080413360816e-10,70269.60142079368
-1.456080413360816e-10,67205.28721576848
-1.48579778072677e-10,64140.973010743386
-1.3867398895069233e-10,91515.51324230165
-1.396645678628908e-10,86816.89812792966
-1.396645678628908e-10,83139.72108189948
-1.396645678628908e-10,80075.40687687427
-1.3273051547750152e-10,108675.6727904426
-1.337210943897e-10,103977.05767607072
-1.337210943897e-10,100299.88063004054
-1.366928311262954e-10,97235.56642501533
-1.2777762091650918e-10,121750.08006521675
-1.2777762091650918e-10,118072.90301918657
-1.2777762091650918e-10,114395.7259731564
-1.208435685311199e-10,136050.21302200097
-1.2183414744331838e-10,131555.88552129734
-1.2183414744331838e-10,128491.57131627214
-1.2480588417991378e-10,125427.25711124705
-1.1490009505792911e-10,159339.0009801924
-1.1589067397012737e-10,154844.67347948876
-1.1589067397012737e-10,151167.49643345858
-1.1589067397012737e-10,147490.31938742835
-1.1589067397012737e-10,144426.00518240314
-1.1886241070672277e-10,141361.690977378
-1.089566215847381e-10,186304.96598441404
-1.0994720049693656e-10,181810.6384837104
-1.0994720049693656e-10,178133.46143768018
-1.0994720049693656e-10,174456.28439164994
-1.0994720049693656e-10,170779.1073456197
-1.1291893723353197e-10,168327.6559815996
-1.1291893723353197e-10,164650.47893556935
-1.0301314811154729e-10,213270.93098863564
-1.0400372702374576e-10,208776.603487932
-1.0400372702374576e-10,205099.42644190177
-1.0400372702374576e-10,201422.2493958716
-1.0400372702374576e-10,197745.07234984136
-1.0697546376034116e-10,195293.62098582118
-1.0697546376034116e-10,191616.443939791
-9.706967463835649e-11,233699.69235547015
-9.806025355055496e-11,229001.07724109822
-9.806025355055496e-11,225323.90019506798
-9.806025355055496e-11,221953.1545695403
-1.0103199028715036e-10,218582.4089440126
-8.914504334076875e-11,257652.41505808372
-9.211678007736415e-11,252902.72804029466
-9.211678007736415e-11,249225.55099426443
-9.211678007736415e-11,245548.3739482342
